time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details
2025-03-14 19:30,2025-03-15 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo",Ukraine,,178,130,38,,{},,,,,,,"['Dnipropetrovsk oblast', 'Kharkiv oblast', 'Odesa oblast', 'Sumy oblast', 'Chernihiv oblast', 'Kyiv oblast']","{'Khmelnytskyi oblast': 9, 'Odesa oblast and Mykolaiv oblast': 24,    'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN,    'Cherkasy oblast': NaN, 'Chernihiv oblast': NaN, 'Kirovohrad oblast': NaN, 'Zhytomyr oblast': NaN,    'Dnipropetrovsk oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Donetsk oblast': NaN}",,
2025-03-14 19:30,2025-03-15 8:30,Iskander-M,Kursk oblast,Kryvyi Rih,,2,0,,,{},,,,,,,,,,
2025-03-15,2025-03-15,Молнія,,south,,1,1,,,{},,,,,,,,,,
2025-03-15,2025-03-15,Lancet,,south,,1,1,,,{},,,,,,,,,,
2025-03-13 20:00,2025-03-14 9:00,Shahed-136/131,Primorsko-Akhtarsk and Millerovo,Ukraine,,27,16,9,,{},,,,,,,"['Kharkiv oblast', 'Donetsk oblast']","{'Dnipropetrovsk oblast': NaN, 'Zaporizhzhia oblast': NaN, 'Donetsk oblast': NaN, 'Kharkiv oblast': NaN}",,
2025-03-14,2025-03-14,ZALA,,south,,1,1,,,{},,,,,,,,,,
2025-03-14,2025-03-14,Lancet,,south,,1,1,,,{},,,,,,,,,,
2025-03-12 19:00,2025-03-13 9:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Shatalovo,Ukraine,,117,74,38,,{},,,,,,,"['Kyiv oblast', 'Sumy oblast', 'Kharkiv oblast', 'Chernihiv oblast', 'Odesa oblast', 'Dnipropetrovsk oblast', 'Zaporizhzhia oblast']","{'Odesa oblast and Mykolaiv oblast': 15, 'Khmelnytskyi oblast': NaN, 'Vinnytsia oblast': NaN,    'Kyiv oblast': NaN, 'Sumy oblast': NaN, 'Poltava oblast': NaN, 'Kharkiv oblast': NaN, 'Chernihiv oblast': NaN,    'Dnipropetrovsk oblast': NaN, 'Zaporizhzhia oblast': NaN}",,
2025-03-12 19:00,2025-03-13 9:00,Iskander-K,Kursk oblast,Ukraine,,1,0,,,{},,,,,,,,,,
2025-03-13,2025-03-13,Молнія,,south,,1,1,,,{},,,,,,,,,,
